OrderID,CustomerID,OrderDate,FulfillmentDate,OrderAmount,Status
107,71,2023-11-28 03:46:37.828070,2024-09-12 03:46:37.856852,94.18,Fulfilled
108,51,2024-03-09 03:46:37.828070,2024-09-19 03:46:37.856852,669.41,Cancelled
109,16,2024-05-13 03:46:37.828070,2024-08-26 03:46:37.856852,760.95,Pending
110,68,2023-10-23 03:46:37.828070,,402.25,Cancelled
111,13,2023-09-23 03:46:37.828070,2024-09-08 03:46:37.856852,59.54,Fulfilled
112,64,2024-06-11 03:46:37.828070,,899.29,Fulfilled
113,45,2024-06-17 03:46:37.828070,2024-08-26 03:46:37.856852,189.59,Fulfilled
114,46,2024-01-19 03:46:37.828070,2024-09-07 03:46:37.856852,962.92,Pending
115,97,2023-12-02 03:46:37.828070,2024-09-12 03:46:37.856852,316.25,Cancelled
116,37,2024-01-31 03:46:37.828070,2024-08-29 03:46:37.856852,369.93,Pending
117,98,2024-03-28 03:46:37.828070,,704.65,Cancelled
118,25,2024-07-09 03:46:37.828070,2024-09-20 03:46:37.856852,940.07,Pending
119,69,2024-02-05 03:46:37.828070,2024-09-13 03:46:37.856852,793.47,Pending
120,88,2024-06-11 03:46:37.828070,2024-09-07 03:46:37.856852,890.09,Cancelled
121,28,2024-04-24 03:46:37.828070,2024-09-16 03:46:37.856852,27.31,Fulfilled
122,77,2023-10-09 03:46:37.828070,2024-09-20 03:46:37.856852,640.47,Pending
123,37,2024-06-19 03:46:37.828070,,616.0,Cancelled
124,74,2024-08-09 03:46:37.828070,,458.21,Pending
125,59,2024-05-07 03:46:37.828070,2024-08-26 03:46:37.856852,352.92,Cancelled
126,66,2023-10-13 03:46:37.828070,2024-08-27 03:46:37.856852,916.19,Fulfilled
127,41,2024-03-18 03:46:37.828070,2024-09-18 03:46:37.856852,781.67,Fulfilled
128,70,2024-06-24 03:46:37.828070,2024-09-12 03:46:37.856852,733.51,Pending
129,63,2023-11-26 03:46:37.828070,2024-09-21 03:46:37.856852,981.99,Fulfilled
130,54,2023-12-16 03:46:37.828070,2024-09-08 03:46:37.856852,400.74,Fulfilled
131,19,2024-02-20 03:46:37.828070,2024-09-06 03:46:37.856852,139.4,Pending
132,44,2024-02-16 03:46:37.828070,,808.57,Pending
133,57,2024-03-07 03:46:37.828070,2024-09-16 03:46:37.856852,66.24,Cancelled
134,83,2024-05-31 03:46:37.828070,2024-09-07 03:46:37.856852,623.08,Pending
135,33,2024-07-09 03:46:37.828070,2024-08-31 03:46:37.856852,380.1,Cancelled
136,90,2024-07-22 03:46:37.828070,2024-09-05 03:46:37.856852,835.99,Cancelled
137,44,2023-12-08 03:46:37.828070,2024-08-30 03:46:37.856852,889.95,Fulfilled
138,2,2024-04-28 03:46:37.828070,2024-08-29 03:46:37.856852,957.49,Fulfilled
139,26,2023-12-07 03:46:37.828070,,834.12,Cancelled
140,89,2024-06-23 03:46:37.828070,,255.06,Pending
141,4,2024-03-09 03:46:37.828070,2024-09-20 03:46:37.856852,202.47,Cancelled
142,12,2023-12-16 03:46:37.828070,2024-09-02 03:46:37.856852,751.26,Cancelled
143,1,2024-09-02 03:46:37.828070,2024-08-31 03:46:37.856852,209.54,Cancelled
144,29,2024-09-14 03:46:37.828070,2024-09-05 03:46:37.856852,165.38,Pending
145,25,2024-01-16 03:46:37.828070,2024-09-09 03:46:37.856852,521.49,Cancelled
146,28,2024-01-02 03:46:37.828070,2024-09-08 03:46:37.856852,79.46,Cancelled
147,23,2024-01-26 03:46:37.828070,2024-09-16 03:46:37.856852,129.89,Cancelled
148,63,2023-10-19 03:46:37.828070,,168.97,Cancelled
149,34,2024-07-18 03:46:37.828070,2024-09-13 03:46:37.856852,241.27,Pending
150,85,2024-09-13 03:46:37.828070,,834.79,Pending
151,73,2023-11-22 03:46:37.828070,2024-08-23 03:46:37.856852,250.49,Pending
152,94,2024-04-21 03:46:37.828070,2024-09-10 03:46:37.856852,907.87,Pending
153,94,2024-02-29 03:46:37.828070,2024-09-13 03:46:37.856852,666.48,Cancelled
154,29,2023-12-17 03:46:37.828070,2024-09-20 03:46:37.856852,591.99,Cancelled
155,95,2024-02-28 03:46:37.828070,2024-08-31 03:46:37.856852,235.28,Fulfilled
156,4,2024-04-18 03:46:37.828070,2024-09-09 03:46:37.856852,249.75,Cancelled
157,52,2024-03-19 03:46:37.828070,2024-09-06 03:46:37.856852,852.73,Pending
158,26,2024-01-23 03:46:37.828070,,575.62,Cancelled
159,53,2023-09-27 03:46:37.828070,,182.93,Fulfilled
160,15,2023-11-18 03:46:37.828070,2024-09-20 03:46:37.856852,692.83,Pending
161,63,2024-08-21 03:46:37.828070,,952.96,Cancelled
162,76,2023-10-05 03:46:37.828070,,795.31,Fulfilled
163,67,2024-03-13 03:46:37.828070,2024-09-10 03:46:37.856852,835.52,Fulfilled
164,86,2023-09-29 03:46:37.828070,,569.01,Pending
165,18,2024-02-18 03:46:37.828070,2024-08-31 03:46:37.856852,622.54,Cancelled
166,76,2024-01-31 03:46:37.828070,2024-09-03 03:46:37.856852,311.76,Pending
167,52,2024-08-07 03:46:37.828070,2024-09-02 03:46:37.856852,216.16,Fulfilled
168,1,2024-04-10 03:46:37.828070,2024-09-08 03:46:37.856852,435.83,Cancelled
169,25,2024-02-07 03:46:37.828070,2024-09-18 03:46:37.856852,185.45,Fulfilled
170,72,2024-06-04 03:46:37.828070,2024-08-31 03:46:37.856852,371.43,Fulfilled
171,36,2024-09-04 03:46:37.828070,2024-09-02 03:46:37.856852,861.93,Pending
172,20,2024-09-11 03:46:37.828070,2024-09-08 03:46:37.856852,829.69,Fulfilled
173,76,2024-06-08 03:46:37.828070,2024-08-23 03:46:37.856852,188.78,Pending
174,14,2024-04-08 03:46:37.828070,2024-09-12 03:46:37.856852,904.86,Cancelled
175,68,2024-05-10 03:46:37.828070,2024-08-29 03:46:37.856852,259.98,Cancelled
176,93,2024-05-03 03:46:37.828070,2024-09-01 03:46:37.856852,388.21,Pending
177,5,2024-05-14 03:46:37.828070,2024-09-20 03:46:37.856852,966.48,Fulfilled
178,50,2024-03-13 03:46:37.828070,2024-08-24 03:46:37.856852,778.76,Fulfilled
179,92,2024-05-10 03:46:37.828070,2024-09-03 03:46:37.856852,878.02,Fulfilled
180,25,2023-11-02 03:46:37.828070,2024-09-08 03:46:37.856852,865.63,Cancelled
181,47,2023-10-04 03:46:37.828070,,46.86,Pending
182,17,2023-12-25 03:46:37.828070,2024-08-31 03:46:37.856852,310.52,Pending
183,63,2024-08-17 03:46:37.828070,2024-09-18 03:46:37.856852,669.05,Fulfilled
184,80,2024-03-04 03:46:37.828070,2024-09-12 03:46:37.856852,192.68,Fulfilled
185,57,2024-03-25 03:46:37.828070,2024-09-21 03:46:37.856852,388.18,Pending
186,40,2024-08-28 03:46:37.828070,2024-09-18 03:46:37.856852,857.7,Cancelled
187,81,2023-12-25 03:46:37.828070,2024-08-28 03:46:37.856852,71.64,Fulfilled
188,13,2024-04-07 03:46:37.828070,,754.24,Fulfilled
189,29,2023-11-14 03:46:37.828070,2024-09-16 03:46:37.856852,484.0,Pending
190,8,2024-09-05 03:46:37.828070,,482.86,Cancelled
191,92,2024-05-14 03:46:37.828070,2024-09-18 03:46:37.856852,480.98,Fulfilled
192,43,2024-04-28 03:46:37.828070,,80.52,Cancelled
193,69,2024-01-09 03:46:37.828070,2024-09-11 03:46:37.856852,297.34,Pending
194,78,2024-08-21 03:46:37.828070,2024-08-31 03:46:37.856852,162.27,Pending
195,25,2024-06-28 03:46:37.828070,2024-09-12 03:46:37.856852,765.64,Fulfilled
196,2,2023-12-15 03:46:37.828070,2024-09-19 03:46:37.856852,703.64,Cancelled
197,9,2024-07-31 03:46:37.828070,2024-09-01 03:46:37.856852,374.02,Pending
198,17,2023-11-08 03:46:37.828070,,839.15,Cancelled
199,2,2023-11-15 03:46:37.828070,,583.46,Pending
200,92,2024-01-04 03:46:37.828070,,911.94,Cancelled
201,33,2024-01-05 03:46:37.828070,2024-09-20 03:46:37.856852,163.24,Cancelled
202,12,2023-10-05 03:46:37.828070,2024-09-05 03:46:37.856852,868.64,Pending
203,94,2024-06-24 03:46:37.828070,2024-09-17 03:46:37.856852,131.57,Pending
204,31,2023-12-23 03:46:37.828070,,849.05,Pending
205,73,2024-04-17 03:46:37.828070,,358.34,Pending
206,68,2023-12-26 03:46:37.828070,2024-09-20 03:46:37.856852,158.9,Pending
207,63,2024-08-28 03:46:37.828070,2024-08-25 03:46:37.856852,887.67,Cancelled
208,11,2024-08-31 03:46:37.828070,,688.83,Cancelled
209,36,2024-04-14 03:46:37.828070,2024-09-11 03:46:37.856852,904.24,Cancelled
210,25,2024-01-21 03:46:37.828070,2024-09-02 03:46:37.856852,482.52,Pending
211,38,2024-03-16 03:46:37.828070,,275.39,Cancelled
212,83,2024-07-31 03:46:37.828070,2024-08-25 03:46:37.856852,818.49,Fulfilled
213,21,2024-09-11 03:46:37.828070,2024-09-10 03:46:37.856852,423.68,Fulfilled
214,80,2024-02-06 03:46:37.828070,,976.7,Cancelled
215,6,2024-05-27 03:46:37.828070,2024-09-20 03:46:37.856852,942.4,Pending
216,55,2024-06-16 03:46:37.828070,,990.12,Fulfilled
217,5,2024-04-17 03:46:37.828070,2024-09-03 03:46:37.856852,708.33,Pending
218,56,2024-06-11 03:46:37.828070,2024-09-08 03:46:37.856852,929.49,Fulfilled
219,45,2023-10-17 03:46:37.828070,,934.39,Fulfilled
220,78,2024-09-19 03:46:37.828070,2024-09-13 03:46:37.856852,747.73,Pending
221,77,2023-10-14 03:46:37.828070,,384.23,Fulfilled
222,80,2024-08-27 03:46:37.828070,2024-09-16 03:46:37.856852,514.81,Fulfilled
223,69,2024-06-09 03:46:37.828070,,915.9,Fulfilled
224,31,2024-02-16 03:46:37.828070,,475.06,Pending
225,29,2024-07-25 03:46:37.828070,,526.01,Cancelled
226,46,2024-05-19 03:46:37.828070,2024-09-18 03:46:37.856852,996.55,Pending
227,36,2024-04-21 03:46:37.828070,2024-08-23 03:46:37.856852,854.54,Pending
228,59,2023-10-24 03:46:37.828070,,65.15,Fulfilled
229,93,2024-05-18 03:46:37.828070,2024-08-28 03:46:37.856852,415.93,Cancelled
230,83,2024-07-27 03:46:37.828070,2024-08-25 03:46:37.856852,504.05,Cancelled
231,53,2023-11-27 03:46:37.828070,2024-09-12 03:46:37.856852,729.14,Pending
232,70,2024-04-24 03:46:37.828070,2024-09-14 03:46:37.856852,361.44,Cancelled
233,49,2024-08-06 03:46:37.828070,2024-08-24 03:46:37.856852,979.52,Cancelled
234,92,2024-06-01 03:46:37.828070,2024-09-21 03:46:37.856852,934.85,Fulfilled
235,7,2024-05-11 03:46:37.828070,,238.41,Pending
236,6,2024-07-15 03:46:37.828070,2024-09-18 03:46:37.856852,853.29,Cancelled
237,20,2024-07-23 03:46:37.828070,2024-09-17 03:46:37.856852,981.34,Pending
238,34,2024-09-17 03:46:37.828070,2024-09-01 03:46:37.856852,980.42,Pending
239,46,2024-05-10 03:46:37.828070,2024-09-03 03:46:37.856852,154.48,Fulfilled
240,69,2024-06-16 03:46:37.828070,2024-08-23 03:46:37.856852,453.47,Fulfilled
241,30,2023-09-26 03:46:37.828070,2024-09-01 03:46:37.856852,841.56,Cancelled
242,61,2023-10-12 03:46:37.828070,2024-09-04 03:46:37.856852,661.85,Fulfilled
243,26,2024-01-16 03:46:37.828070,2024-08-24 03:46:37.856852,869.15,Fulfilled
244,56,2024-03-13 03:46:37.828070,2024-09-14 03:46:37.856852,218.94,Cancelled
245,78,2024-03-11 03:46:37.828070,2024-09-13 03:46:37.856852,683.89,Cancelled
246,41,2024-06-08 03:46:37.828070,2024-09-07 03:46:37.856852,19.87,Fulfilled
247,60,2023-10-01 03:46:37.828070,2024-09-20 03:46:37.856852,298.11,Cancelled
248,27,2023-12-31 03:46:37.828070,,801.99,Cancelled
249,18,2023-10-20 03:46:37.828070,2024-09-16 03:46:37.856852,496.98,Pending
250,87,2023-12-13 03:46:37.828070,2024-08-23 03:46:37.856852,335.38,Cancelled
251,98,2023-11-22 03:46:37.828070,2024-08-24 03:46:37.856852,865.84,Fulfilled
252,72,2024-05-05 03:46:37.828070,2024-08-25 03:46:37.856852,99.99,Pending
253,93,2024-07-17 03:46:37.828070,2024-08-23 03:46:37.856852,21.76,Cancelled
254,4,2024-04-30 03:46:37.828070,2024-09-20 03:46:37.856852,212.14,Fulfilled
255,24,2024-03-10 03:46:37.828070,,56.48,Pending
256,10,2024-07-29 03:46:37.828070,2024-09-10 03:46:37.856852,64.5,Cancelled
257,54,2024-04-18 03:46:37.828070,2024-08-29 03:46:37.856852,42.73,Pending
258,35,2024-05-21 03:46:37.828070,2024-09-14 03:46:37.856852,425.43,Pending
259,2,2023-11-02 03:46:37.828070,,764.3,Pending
260,21,2024-03-22 03:46:37.828070,2024-09-06 03:46:37.856852,852.53,Pending
261,12,2024-06-07 03:46:37.828070,2024-08-25 03:46:37.856852,301.14,Pending
262,40,2023-11-05 03:46:37.828070,2024-09-18 03:46:37.856852,640.24,Cancelled
263,51,2024-09-18 03:46:37.828070,2024-08-27 03:46:37.856852,265.16,Fulfilled
264,2,2024-07-29 03:46:37.828070,2024-09-17 03:46:37.856852,694.58,Cancelled
265,97,2024-07-30 03:46:37.828070,2024-09-04 03:46:37.856852,947.93,Fulfilled
266,43,2024-06-09 03:46:37.828070,2024-09-21 03:46:37.856852,244.47,Pending
267,78,2024-01-27 03:46:37.828070,,766.84,Fulfilled
268,36,2024-05-19 03:46:37.828070,,567.09,Pending
269,57,2024-09-11 03:46:37.828070,2024-09-05 03:46:37.856852,896.38,Fulfilled
270,20,2024-01-14 03:46:37.828070,2024-08-30 03:46:37.856852,806.83,Pending
271,13,2024-06-27 03:46:37.828070,2024-08-23 03:46:37.856852,313.09,Cancelled
272,93,2024-09-10 03:46:37.828070,2024-09-09 03:46:37.856852,208.3,Pending
273,7,2023-11-26 03:46:37.828070,2024-09-10 03:46:37.856852,768.48,Cancelled
274,20,2024-05-09 03:46:37.828070,2024-09-08 03:46:37.856852,82.19,Cancelled
275,35,2023-11-09 03:46:37.828070,2024-09-18 03:46:37.856852,314.79,Pending
276,66,2024-02-23 03:46:37.828070,,469.42,Cancelled
277,5,2023-11-25 03:46:37.828070,2024-09-18 03:46:37.856852,533.97,Cancelled
278,32,2023-11-08 03:46:37.828070,,843.1,Fulfilled
279,20,2024-06-28 03:46:37.828070,2024-09-05 03:46:37.856852,406.58,Cancelled
280,88,2024-01-15 03:46:37.828070,2024-09-03 03:46:37.856852,138.71,Cancelled
281,94,2023-10-20 03:46:37.828070,2024-09-02 03:46:37.856852,924.17,Cancelled
282,64,2024-02-19 03:46:37.828070,2024-08-29 03:46:37.856852,203.53,Fulfilled
283,74,2023-11-06 03:46:37.828070,2024-08-30 03:46:37.856852,925.71,Pending
284,9,2024-05-19 03:46:37.828070,2024-09-04 03:46:37.856852,829.38,Pending
285,84,2024-02-22 03:46:37.828070,2024-09-08 03:46:37.856852,122.07,Fulfilled
286,26,2024-02-21 03:46:37.828070,2024-09-02 03:46:37.856852,844.61,Cancelled
287,72,2023-12-10 03:46:37.828070,2024-09-12 03:46:37.856852,512.53,Pending
288,66,2024-03-01 03:46:37.828070,2024-09-10 03:46:37.856852,307.28,Fulfilled
289,33,2023-12-11 03:46:37.828070,2024-09-05 03:46:37.856852,147.43,Pending
290,74,2023-10-09 03:46:37.828070,,913.77,Fulfilled
291,65,2024-04-28 03:46:37.828070,2024-08-26 03:46:37.856852,839.74,Cancelled
292,84,2024-06-12 03:46:37.828070,,244.83,Cancelled
293,100,2023-11-25 03:46:37.828070,,470.76,Cancelled
294,17,2023-10-01 03:46:37.828070,2024-09-14 03:46:37.856852,111.76,Fulfilled
295,10,2024-03-08 03:46:37.828070,2024-09-21 03:46:37.856852,831.75,Pending
296,5,2024-05-24 03:46:37.828070,2024-09-18 03:46:37.856852,393.36,Fulfilled
297,52,2023-12-15 03:46:37.828070,,212.19,Fulfilled
298,31,2024-03-06 03:46:37.828070,2024-08-26 03:46:37.856852,496.73,Pending
299,50,2023-10-14 03:46:37.828070,2024-09-15 03:46:37.856852,263.18,Cancelled
300,93,2024-08-02 03:46:37.828070,2024-08-23 03:46:37.856852,274.63,Cancelled
301,34,2024-04-22 03:46:37.828070,2024-09-19 03:46:37.856852,300.75,Fulfilled
302,36,2024-04-22 03:46:37.828070,2024-09-21 03:46:37.856852,725.35,Pending
303,74,2024-01-02 03:46:37.828070,2024-09-05 03:46:37.856852,527.49,Cancelled
304,88,2024-08-30 03:46:37.828070,,342.06,Pending
305,96,2024-07-03 03:46:37.828070,2024-09-13 03:46:37.856852,541.34,Fulfilled
306,49,2024-05-26 03:46:37.828070,2024-09-07 03:46:37.856852,394.09,Fulfilled
307,46,2024-05-18 03:46:37.828070,2024-09-12 03:46:37.856852,650.67,Cancelled
308,51,2024-04-18 03:46:37.828070,2024-09-17 03:46:37.856852,251.56,Cancelled
309,27,2024-05-12 03:46:37.828070,,541.51,Fulfilled
310,22,2024-02-02 03:46:37.828070,2024-08-24 03:46:37.856852,437.9,Fulfilled
311,40,2024-07-20 03:46:37.828070,2024-09-19 03:46:37.856852,39.45,Pending
312,50,2023-10-27 03:46:37.828070,2024-08-29 03:46:37.856852,462.84,Pending
313,56,2024-06-14 03:46:37.828070,2024-09-10 03:46:37.856852,373.75,Fulfilled
314,48,2024-03-14 03:46:37.828070,2024-08-28 03:46:37.856852,773.77,Pending
315,26,2024-04-21 03:46:37.828070,2024-09-19 03:46:37.856852,414.94,Pending
316,89,2024-03-15 03:46:37.828070,2024-09-15 03:46:37.856852,735.22,Fulfilled
317,18,2023-12-11 03:46:37.828070,2024-09-20 03:46:37.856852,527.51,Fulfilled
318,96,2024-01-17 03:46:37.828070,2024-09-20 03:46:37.856852,61.24,Pending
319,63,2024-06-29 03:46:37.828070,2024-08-23 03:46:37.856852,376.78,Fulfilled
320,2,2024-02-05 03:46:37.828070,2024-09-01 03:46:37.856852,929.88,Cancelled
321,15,2023-11-22 03:46:37.828070,2024-09-16 03:46:37.856852,264.24,Cancelled
322,92,2024-05-09 03:46:37.828070,2024-09-09 03:46:37.856852,777.66,Cancelled
323,43,2024-04-17 03:46:37.828070,2024-09-04 03:46:37.856852,938.64,Pending
324,24,2024-03-26 03:46:37.828070,2024-09-11 03:46:37.856852,352.73,Cancelled
325,1,2023-12-10 03:46:37.828070,2024-09-13 03:46:37.856852,702.46,Fulfilled
326,8,2023-12-10 03:46:37.828070,2024-09-14 03:46:37.856852,626.89,Fulfilled
327,62,2024-03-26 03:46:37.828070,2024-08-23 03:46:37.856852,510.4,Cancelled
328,58,2024-06-24 03:46:37.828070,2024-09-14 03:46:37.856852,375.84,Fulfilled
